,name,url
136,"3-комн. квартира, 73 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/309642598/
137,"2-комн. квартира, 47,7 м², 8/9 этаж",https://kemerovo.cian.ru/sale/flat/312526928/
138,"2-комн. квартира, 52,4 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/302196150/
139,"3-комн. квартира, 71,7 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/314133923/
140,"3-комн. квартира, 60,5 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/305058842/
141,"2-комн. квартира, 52,4 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/314610780/
142,"2-комн. квартира, 23,8 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/308217786/
143,"1-комн. квартира, 32,5 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/310681814/
144,"3-комн. квартира, 89 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/313580087/
145,"2-комн. квартира, 47,7 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/294284859/
146,"3-комн. квартира, 60,3 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/304605954/
147,"3-комн. квартира, 58 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/311259471/
148,"1-комн. квартира, 30 м², 1/3 этаж",https://kemerovo.cian.ru/sale/flat/314051777/
149,"1-комн. квартира, 36,4 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/308670513/
150,"2-комн. квартира, 44,4 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/311259474/
151,"1-комн. квартира, 31 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/312592699/
152,"3-комн. квартира, 81 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/311218324/
153,"3-комн. квартира, 64 м², 2/10 этаж",https://kemerovo.cian.ru/sale/flat/292648788/
154,"3-комн. квартира, 64 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/314610774/
