,Имя,Ссылка,Цена,Адрес,Описание,Общая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Строительная серия,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Обременения,Кадастровый номер,Площадь,Тип помещения,Парковка,Собственников,Жилая площадь,Мусоропровод,Продаётся с мебелью,Балкон/лоджия,Количество лифтов,Газоснабжение,Размер доли
417,"3-комн. квартира, 63,3 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/312320044/,6 300 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Гайдара, 38На карте","Федеральная компания недвижимости Этажи предлагает к продаже трехкомнатную квартиру в хорошем районе Тыргана. Квартира не угловая, очень теплая. Есть балкон (остеклен). Сан.узел раздельный. В квартире произведен косметический ремонт, отличное жилое состояние. При продаже остается вся встроенная мебель. Вся инфраструктура в шаговой доступности, магазины, остановки общественного транспорта, школа, детский сад, аптеки. Обременений и долгов нет. Документы готовы к продаже. Любая форма расчета. . Номер в базе: 11752069.","63,3 м²",9 м²,2 из 5,1979,Вторичка,,1 раздельный,,Евроремонт,111-97,Панельный,Железобетонные,6,Центральное,Нет,,,,,,,,,,1 балкон,,,
418,"2-комн. квартира, 41 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/312266243/,2 600 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. Кучина, 12На карте","Теплая уютная квартира, солнечная сторона, второй этаж, балкон. Развитая инфраструктура. Всё что в квартире остаётся новому владельцу.",41 м²,6 м²,2 из 3,1960,Вторичка,,1 совмещенный,Во двор,Косметический,111-86,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,,,,,Да,1 балкон,,,
419,"4-комн. квартира, 92 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/287653935/,5 000 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. Артема, 11На карте","Предлагается к продаже 4х комнатная квартира в старом центре. Состояние *Заходи и Живи*. Качественный ремонт. Частично остаётся мебель Перепланировка узаконена. Зал совмещен с кухней 35 м2. Две спальни по 15 кв, взрослая спальня 20 кв.  Туалет и ванная раздельные ,большие. Ремонт делали сами для себя! Везде натяжные потолки, на полу ламинат без порогов. Хоть на велосипеде катайся! Балкон 7,5 метров не застеклен, здесь уже на ваше усмотрение стеклить или так оставить. Прекрасное расположение. Спальный район, окна на две стороны. Тихое место, не слышно шум трамваев и жд дороги. Птички поют по утрам! Дом очень теплый. Два детских сада рядом. Школа в шаговой доступности( даже дорогу переходить не надо) перепланировка узаконена..Подходит любой вид расчета..( снос..подработка..) Если не можете дозвониться пишите ( смс, ватсап,телеграм) потом сам перезвоню!!!
Узнать больше  ",92 м²,,4 из 4,2000,Вторичка,,,На улицу и двор,Евроремонт,Индивидуальный проект,Кирпичный,Деревянные,4,Центральное,Нет,,,,,Наземная,,,Нет,,1 балкон,,,
420,"3-комн. квартира, 82 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/302508407/,5 000 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Ноградская ул., 8На карте","Большая 3 комнатная квартира, 1 собственник. Бетонные перекрытия, хранилище в подвале, коммуникации в доме заменены, отдельный ввод света. Квартира продается почти со всей мебелью и техникой.",82 м²,,2 из 3,1958,Вторичка,"3,5 м",1 раздельный,На улицу и двор,,Индивидуальный проект,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,,,,,,,,,
421,"4-комн. квартира, 83,9 м², 11/12 этаж",https://kemerovo.cian.ru/sale/flat/293634076/,5 150 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Обручева, 47На карте","Предлагается к покупке 4х-комнатная квартира в 12-ти этажном доме в районе фонтана по ул. Обручева 47.
Высокий этаж позволяет насладиться чистым воздухом и отсутствием шума с улицы.
Самое удобное расположение на Тыргане, в шаговой доступности школа, детский сад, поликлиника, банк, остановки транспорта (автобус и трамвай) магазины, торговые центры, Молодежный парк.

Дом кирпичный, очень теплый! Имеются 2 лифта- пассажирский и грузо-пассажирский. Работают круглосуточно, без перебоев.

Все комнаты изолированные, большие, вместительная прихожая. Зал, кухня далеко от спальных комнат, что очень удобно. Окна выходят на три стороны.
В квартире:
2 балкона с шикарным видом на город: зал-кухня и спальня
вместительная кладовка
 Хороший косметический ремонт:
установлены окна ПВХ, межкомнатные двери
линолеум, обои
потолки выровнены ""под яичко""
с/у раздельный с отделкой кафелем
частично заменены радиаторы отопления

Хорошие соседи, хорошая управляющая компания, чистый подъезд

Документы готовы под любой вид расчета
Узнать больше  ","83,9 м²","8,7 м²",11 из 12,1989,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-86,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,,,,Да,,2 балкона,2 пассажирских,,
422,"3-комн. квартира, 64,8 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/304654609/,5 200 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Есенина, 68На карте","Очень теплая, сухая 3-комнатная квартира, не угловая, c выходом по обе стороны дома, цоколь высокий. Межпанельные стыки утеплены снаружи и изнутри квартиры. Входная сейф-дверь повышенной надежности, имеет очень высокую прочность, толщина стали 2 мм. Зимой жарко ходим босиком. Стены выровнены, сo стороны подъезда выполнена теплозвукоизоляция, полы утеплены, постелен ламинат, в зале ковролин, потолки натяжные. Сантехника в отличном состоянии, установлены счётчики горячей и холодной воды. Остается; кухонный гарнитур с электрической плитой BEKO, поверхность стеклокерамика, в духовке встроен гриль, всё работает; большой зеркальный шкаф-купе в коридоре; мебель в ванной. Без обременений, любой вид расчета. Во дворе есть детская площадка, парковка для автомобилей. С одной стороны дома школа No 15, с другой стороны детский сад No 40. Рядом много больших продуктовых магазинов (Лента в 7-10 мин ходьбы), есть трамвайная остановка и две автобусных остановки (до Новокузнецка). 10 минут ходьбы до Аллеи Героев и детского Солнечного городка. В подъезде всегда чисто, спокойно, хорошие соседи.
Узнать больше  ","64,8 м²",9 м²,1 из 5,1986,Вторичка,"2,5 м",1 раздельный,На улицу и двор,,111-97,Панельный,Железобетонные,10,Центральное,Нет,,,,,Наземная,,53 м²,,,,,,
423,"3-комн. квартира, 64 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/298979223/,5 280 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Гайдара, 26На карте","Продам трёх комнатную квартиру. Квартира светлая, тёплая, окна на две стороны, соседи хорошие. Окна пластиковые, натяжные потолки, батареи и стоянки поменяны,санузел в хорошем состоянии, сантехника новая. Балкон застеклен, есть кладовка. Во дворе детская площадка. Есть места для парковки автомобиля, видео наблюдение. Инфраструктура развитая: школа, 3 детских сада, Цдо, детская и взрослая поликлиники, аптеки, магазины. Трамвайная и автобусные остановки рядом.",64 м²,9 м²,5,1979,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-97,Панельный,Железобетонные,6,Центральное,Нет,Нет,42:32:0103013:***,64 м²,Жилое,Наземная,3,,,,1 балкон,,,
424,"4-комн. квартира, 82,1 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307284498/,5 290 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Советов, 21На карте","Собствeнник. Пpoдaётся светлая, прoстoрная,  уютная  квaртира улучшeннoй плaниpoвки в cпoкойном и комфopтном для проживания рaйоне Тыргана с xоpошo развитой инфрaстpуктурой. Рядом 2 cадикa, шкoла, Гoрно-техничecкий колледж,  магaзины ""Maгнит"", ""Пятёрoчка"", дискaунтер ""Хороший"", ""Kpаcное и белое"", Валберис, аптека в соседних домах; поликлиника - в шаговой доступности. Уютный двор, рядом с домом - детская площадка, за домом - стадион.Остановки общественного транспорта - в 5-7 минутах. 
Дом  находится в небольшом отдалении от дороги. Квартира тёплая, все комнаты изолированные, оборудованы мебелью и техникой, в отличном состоянии, можно сразу заезжать и жить; на этаже имеется тамбур на 3 квартиры.  Туалет, ванная комната полностью выложены кафелем, в кухне - кафель на  стенах; на полу  во всей квартире настелен  линолеум, в большой спальне - ламинат, стены оклеены хорошими, качественными обоями, потолки выровнены. Встроенная мебель:  кухонный гарнитур с  плитой и духовым шкафом  (Наnsа),  в коридоре -  вместительная прихожая, в детской - шкаф для одежды, книг и игрушек. Есть обустроенная отдельная гардеробная с входом из большой спальной комнаты. Остальная мебель и техника - по договоренности.
Реальному покупателю - торг.
Узнать больше  ","82,1 м²",9 м²,5,1978,Вторичка,"2,65 м",,,Евроремонт,,Панельный,Железобетонные,5,Центральное,Нет,Нет,42:32:0103015:***,"82,1 м²",Жилое,,1,"51,2 м²",,,,,,
425,"4-комн. квартира, 76 м², 2/9 этаж",https://kemerovo.cian.ru/sale/flat/307707692/,5 300 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Есенина, 58На карте","Продам 4-хкомнатную квартиру 76,5 кв. м. на 2-м этаже 9-тиэтажного дома улучшенной планировки с просторной кухней, 3-мя балконами, один из которых застеклен.  Окна квартиры выходят на 2 стороны: во двор с достаточным количеством парковочных мест с одной стороны, и с красивым видом на  березовые посадки и роскошным цветником под балконом - с другой. Квартира тёплая  в зимнее время года и приятно прохладная - в летнее. Рядом школа, детский сад, аптека, магазины Пятёрочка, Мария Ра и др. В шаговой доступности гипермаркет Лента, рынок, детский ""Солнечный городок"" с аттракционами и Молодёжный парк. Рядом автобусная и трамвайная остановки.
Узнать больше  ",76 м²,9 м²,2 из 9,1986,Вторичка,"2,8 м",1 раздельный,На улицу и двор,Косметический,111-97,Панельный,Железобетонные,8,Центральное,Нет,,,,,,,,Да,,3 балкона,1 пассажирский,,
426,"4-комн. квартира, 72,96 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310187512/,5 300 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Есенина, 24На карте","высокий цоколь, большой застеклённый балкон,в уличном коридоре кирпичная кладовка, рядом школа 14, садик, магазин манетка.","72,96 м²",9 м²,1 из 5,1982,Вторичка,"2,6 м",1 раздельный,Во двор,Косметический,111-97,Панельный,Железобетонные,5,Центральное,Нет,,,,,,,59 м²,Да,,1 балкон,,,
427,"3-комн. квартира, 65 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/308532656/,5 490 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Строителей, 49На карте","Агентство недвижимости СОЮЗ ПЛЮС
Покупайте: 3-к. квартиру в Прокопьевске по пр-ту. Строителей 49
Цена: 5 млн. 490 тыс. руб. (Без дополнительных комиссий и %.)
Этаж: 9/9
Площадь: 65 кв. м. Описание:  Рядом школа, детский сад, Лента, Пятерочка, рынок Губернский, парк в 10 минутах ходьбы пешком. Квартира просторная, светлая, очень теплая, после капитального ремонта: заменена система отопления ( медь) , новая сантехника, электропроводка ( медь ) , стены выровнены и оклеены обоями , на полу уложен ламинат , потолки натяжные ( с точечные светильники ) , межкомнатные двери из массива, качественная входная дверь , санузел раздельный с отделкой кафель , выделена входная зона из керамогранита. В подарок новый шкаф и стиральная машина . Документы готовы , один взрослый собственник .
Профессиональное юридическое сопровождение сделки.
Обращайтесь для уточнения информации или для подбора нужного вам варианта квартиры БЕСПЛАТНО.
Узнать больше  ",65 м²,9 м²,9 из 9,1986,Вторичка,,,На улицу и двор,Косметический,111-97,Панельный,Железобетонные,6,Центральное,Нет,,,,,Наземная,,,Да,,1 балкон,1 пассажирский,,
428,"4-комн. квартира, 61,1 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307515276/,5 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Институтская ул., 94На карте","Агентство недвижимости СОЮЗ ПЛЮС
Покупайте: 4-к. квартиру в Прокопьевске по ул. Институтская 94
Ипотеку возможно оформить по 2 документам и с плохой КИ
Цена: 5 млн.500 тыс. руб. (без дополнительных комиссий и %)
Этаж: 5/5
Площадь: 61.1 кв.м.
Описание: Квартира расположена в районе 16 училища. Рядом остановка общественного транспорта, магазины (Радость, Монетка, Ярче и многие другие), почта России, детский реабилитационный центр Радуга, техникум, детский сад, школа, ДК им. Маяковского, Тырганский парк. Благоустроенный двор, много парковочных мест, детская площадка. Квартира с ремонтом и узаконенной перепланировкой : пластиковые окна , межкомнатные двери, качественная входная дверь , санузел кафель , заменена вся сантехника , новые радиаторы отопления , стены выровнены и оклеены обоями, на полу уложен линолеум, замена проводка , натяжной потолок, балкон остеклен с панорамным видом и внутренней отделкой
Профессиональное юридическое сопровождение сделки.

Обращайтесь для уточнения информации или подбора Вам нужного варианта бесплатно.
Узнать больше  ","61,1 м²",9 м²,5 из 5,1973,Вторичка,,1 раздельный,Во двор,Косметический,111-86,Кирпичный,Железобетонные,4,Центральное,Нет,,,,,Наземная,,,,,1 балкон,,,
429,"2-комн. квартира, 52,2 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/305569054/,5 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Обручева, 49На карте","Агентство Недвижимости СОЮЗ ПЛЮС
Покупайте: 2-к квартиру в Прокопьевске по ул. Обручева 49
Цена: 5млн 500. тыс.руб. (без дополнительных комиссий и %)
Этаж: 2/5
Площадь: 52.2 кв.м.
Описание: Все в шаговой доступности: Фонтан, ТЦ Квадро , поликлиника ( детская, взрослая) ТЦ Победа, Сбербанк, детский сад , школа , цдо , остановки общественного транспорта. Квартира тёплая , уютная ,со всей необходимой мебелью и бытовой техникой , после капитального ремонта. Пластиковые окна ( на две стороны ) , балкон с видом во двор , межкомнатные двери , новая проводка, натяжной потолок , качественная входная дверь, санузел совмещённый с отделкой кафель, стены выровнены и оклеены обоями, на полу уложен ламинат .Квартира продается с мебелью и бытовой техникой
Профессиональное юридическое сопровождение сделки.
Обращайтесь для уточнения информации или для подбора нужного вам варианта квартиры — бесплатно
Узнать больше  ","52,2 м²",9 м²,2 из 5,1980,Вторичка,,1 совмещенный,Во двор,Косметический,111-97,Панельный,Железобетонные,10,Центральное,Нет,,,,,Наземная,,,,,1 балкон,,,
430,"2-комн. квартира, 68,8 м², 2/9 этаж",https://kemerovo.cian.ru/sale/flat/309623105/,5 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Тырган микрорайон, 10-й микрорайон, 27На карте","Продается уютная двухкомнатная квартира в живописном районе Прокопьевска. Расположена на 2-м этаже девятиэтажного дома в микрорайоне Тырган. Общая площадь квартиры составляет 68.8 кв.м, из которых 55 кв.м  жилая, а кухня занимает 9 кв.м. Квартира идеально подойдет для комфортной жизни благодаря удобной планировке и большому количеству света.

В квартире выполнен современный евроремонт: стильный дизайн, качественные материалы отделки. Комнаты просторные и светлые, их окна выходят как на улицу, так и во двор, поэтому в квартире всегда свежий воздух и тишина. В квартире есть один санузел, отделанный современной плиткой, а также лоджия и балкон, где можно наслаждаться утренним кофе или вечерним отдыхом.

Дом, в котором находится квартира, оборудован пассажирским лифтом и наземной парковкой, поэтому ваши перемещения будут удобными и комфортными. Дом в хорошем состоянии, ухоженный двор и подъезд. Поблизости находятся школы, детские сады и магазины, что обеспечивает все необходимое для семейной жизни в шаговой доступности.

Квартира продается без обременений, возможна покупка в ипотеку. Все документы готовы к сделке, что делает процесс покупки быстрым и безопасным. Это отличная возможность для тех, кто ищет уютное жилье в спокойном районе.

Приглашаем на просмотр, чтобы вы могли лично оценить все преимущества этой квартиры. Звоните, чтобы записаться на удобное для вас время. Мы с удовольствием ответим на все ваши вопросы и поможем с оформлением сделки!
Узнать больше  ","68,8 м²",9 м²,2 из 9,,Вторичка,,1 раздельный,На улицу и двор,Евроремонт,,,,,,,,,,,Наземная,,55 м²,,,"1 лоджия, 1 балкон",1 пассажирский,,
431,"3-комн. квартира, 64 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/295876375/,5 600 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Строителей, 69На карте","Продaeтcя 3-ex комнатная квартиpа нa 2 этаже в цeнтpe Tыpгaна. Bo двope есть паpкoвка и очень зaмечатeльные бepезы рacтущие и укpaшающие вид с бaлкона и куxни. Вид со cпaлeн выxoдит нa небольшую аллею вдoль котopой посажены деpевья. Проxoдимoсть свeту этo не мешaет. Пока светит Солнце во всех комнатах светло.
Рядом с домом проходят все автобусы в любую точку города в том числе и Новокузнецк. В пешей доступности трамвайная остановка, Лента, Пятерочка, Магнит, Мария-РА, Губернский рынок, Красное белое, Бристоль, ресторан Остап, ремонтные мастерские, женская консультация, стоматология и т.д. перечислять можно долго. Откройте 2GIS сами все увидите ;)
Для семейной пары будет плюсом наличие рядом детских садов и школы, КузГТУ, парков Победы и молодежного парка. Замечательная аллея к фонтану.
Собственник!

Агенту покупателя выплачивается вознаграждение в размере 50000 рублей при проведении сделки.
Узнать больше  ",64 м²,"8,5 м²",2 из 5,1986,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-97,Панельный,Железобетонные,5,Центральное,Нет,,,,,Наземная,,,Да,,1 балкон,,,
432,"3-комн. квартира, 52,3 м², 7/9 этаж",https://kemerovo.cian.ru/sale/flat/311698214/,5 600 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Гагарина, 45На карте","Продается уютная трехкомнатная квартира на проспекте Гагарина, 45 в городе Прокопьевск. Квартира расположена на 7-м этаже 9-этажного панельного дома, построенного в 1976 году. Общая площадь квартиры составляет 52,3 кв. м, из которых просторная кухня занимает 20 кв. м. Окна квартиры выходят во двор, что обеспечивает тишину и уют.

Квартира выполнена в современном стиле с качественным евроремонтом. В квартире есть все необходимое для комфортного проживания: современная мебель, полностью оборудованная кухня и совмещенный санузел. Планировка квартиры включает один балкон, что добавляет дополнительное пространство для отдыха. 

Дом ухоженный, с наземной парковкой и пассажирским лифтом, поэтому можно легко добраться до нужного этажа. В здании есть мусоропровод, поэтому можно не беспокоиться о выносе мусора. 

Район имеет развитую инфраструктуру: в шаговой доступности находятся школы, детские сады, клиники и магазины. Это идеальное место для семей с детьми, поскольку все необходимое находится рядом.

Квартира продается без посредников, от собственника. Возможна покупка в ипотеку. Все документы готовы к сделке, юридически чистая история, без обременений.

Приглашаем вас на просмотр, чтобы оценить все преимущества этой квартиры лично. Звоните и записывайтесь на удобное для вас время!
Узнать больше  ","52,3 м²",20 м²,7 из 9,1976,Вторичка,,1 совмещенный,Во двор,Евроремонт,111-97,Панельный,Железобетонные,6,Центральное,Нет,,,,,Наземная,,,Да,,1 балкон,1 пассажирский,,
433,"2-комн. квартира, 52 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/307514704/,5 700 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Жолтовского, 18На карте","Агентство недвижимости СОЮЗ ПЛЮС 
Покупайте: 2-к. квартиру в Прокопьевске по ул. Жолтовского 18
Ипотеку возможна оформить по 2 документам и с плохой КИ 
Цена: 5 млн. 700 тыс. руб. (без дополнительных комиссий и %) 
Этаж: 3/5 
Площадь: 52 кв.м. 
Описание: Квартира находится на Тыргане. В минутах ходьбы находятся Чайка, молодежный парк для прогулок и активного отдыха, Гимназия 42, ТФК, Детский сад  100, Детская поликлиника, ЗАГС, КузГТУ филиал, магазины, Додо пицца. Квартира сделана с двушки, под трешку. Квартира тёплая, светлая, комнаты изолированные, сделан хороший ремонт, с/у раздельный (Кафель), на полу в коридоре (плитка), в зале (ламинат), межкомнатные двери, хорошая входная дверь, застекленный балкон, пластиковые окна. В квартире остается вся мебель и бытовая техника. Профессиональное юридическое сопровождение сделки. 
Обращайтесь для уточнения информации или подбора нужного Вам варианта БЕСПЛАТНО.
Узнать больше  ",52 м²,10 м²,3 из 5,1977,Вторичка,"2,5 м",1 раздельный,На улицу и двор,Косметический,1-464,Панельный,Железобетонные,7,Центральное,Нет,,,,,Наземная,,,Да,,1 балкон,,,
434,"3-комн. квартира, 64 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/308826005/,5 700 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Тырган микрорайон, 10-й микрорайон, 2На карте","Агентство Недвижимости СОЮЗ ПЛЮС
Покупайте: 3-к. квартиру в Прокопьевске по ул. 10-й микрорайон д. 2 
Ипотеку возможно оформить по 2 документам и с плохой КИ.
Цена: 5 млн. 700 тыс. руб. (без дополнительных комиссий и %)
Этаж: 3/5
Площадь: 64  кв.м.
Описание: Рядом школа ,  детский сад, спальный район, магазины, транспортная развязка. 
Квартира в хорошем состоянии , балкон остеклен с внутренней отделкой , качественная входная дверь , межкомнатные двери , натяжной потолок , санузел раздельный , установлены приборы учёта горячей и холодной воды . 
Профессиональное юридическое сопровождение сделки.
Обращайтесь для уточнения информации или для подбора нужного вам варианта квартиры — бесплатно.
Узнать больше  ",64 м²,9 м²,3 из 5,,Вторичка,,1 раздельный,На улицу и двор,Косметический,,,,,,,,,,,Наземная,,,,,1 балкон,,,
435,"4-комн. квартира, 76 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/311246147/,5 700 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Строителей, 49На карте","Продам теплую, светлую, уютную квартиру в 6 микрорайоне. Квартира с хорошим ремонтом, 2 балкона. Остается мебель.",76 м²,,9 из 9,1986,Вторичка,,,,,111-97,Панельный,Железобетонные,6,Центральное,Нет,,,,,,,,,,2 балкона,,,
436,"3-комн. квартира, 64 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/219562480/,5 700 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Тырган микрорайон, 10-й микрорайон, 3На карте","Продам отличную 3-х комнатную квартиру, расположенную на 5-ом этаже 5-ти этажного панельного дома. Соседи хорошие. Есть домофон. Чистый подъезд, регулярно убирается. Квартира не угловая, сухая, теплая. Окна выходят на две стороны. Во всех комнатах установлены 5-ти камерные пластиковые стеклопакеты. Установлен новый инверторный кондиционер. Балкон застеклен и обшит. Дорогая входная дверь с хорошей звукоизоляцией. В квартире сделан хороший ремонт. Во всей квартире на полу ламинат, на кухне пол кафель с подогревом. Межкомнатные дорогие деревянные двери. Санузел раздельный, отделанный кафелем. Сантехника в отличном состоянии. Большая кладовка с полками. Стояки и радиаторы отопления новые, замены не требуют. Во дворе дома расположена большая детская игровая площадка. В шаговой доступности детский сад, школа, магазины, аптека, автобусная остановка. Двор тупиковый, заасфальтирован, зимой не заносит (выезд есть всегда). У подъезда всегда есть парковочные места. Возможна продажа с мебелью.
Все вопросы по телефону. Квартира без обременений!!!
Узнать больше  ",64 м²,9 м²,5 из 5,1989,Вторичка,,1 раздельный,На улицу и двор,Евроремонт,,Панельный,,,,,,,,,,,,Да,Да,1 балкон,,,
437,"4-комн. квартира, 76 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/307515336/,5 800 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Строителей, 49На карте","Агентство недвижимости СОЮЗ ПЛЮС
Покупайте: 4-к. квартиру в Прокопьевске по пр-ту. Строителей 49
ВСЕГО за: 31 353 руб. в месяц.
Ипотеку возможно оформить по 2 документам и с плохой КИ
Цена: 5 млн. 800 тыс. руб. (Без дополнительных комиссий и %.)
Этаж: 9/9
Площадь: 76 кв. м. Описание:  Рядом школа, детский сад, Лента, Пятерочка, рынок Губернский, парк в 10 минутах ходьбы пешком. Квартира просторная, светлая, очень теплая, не угловая, средний подъезд. Поменяна сантехника, электрика, стены выровнены оклеены обоями, в зале подвесной потолок, в остальных комнатах натяжной, санузел раздельный ( кафель) , установлены приборы учёта холодной и горячей воды, два балкона ( с внутренней отделкой) , межкомнатные двери, качественная входная дверь. Квартира продается со всей необходимой мебелью.
Профессиональное юридическое сопровождение сделки.

Обращайтесь для уточнения информации или для подбора нужного вам варианта квартиры БЕСПЛАТНО.
Узнать больше  ",76 м²,9 м²,9 из 9,1986,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-97,Панельный,Железобетонные,6,Центральное,Нет,,,,,Наземная,,,Да,,2 балкона,1 пассажирский,,
438,"4-комн. квартира, 76 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/294253772/,5 800 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Строителей, 49На карте","Агентство недвижимости СОЮЗ ПЛЮС
Покупайте: 4-к. квартиру в Прокопьевске по пр-ту. Строителей 49
ВСЕГО за: 31 353 руб. в месяц.
Ипотеку возможно оформить по 2 документам и с плохой КИ
Цена: 5 млн. 800 тыс. руб. (Без дополнительных комиссий и %.)
Этаж: 9/9
Площадь: 76 кв. м. Описание:  Рядом школа, детский сад, Лента, Пятерочка, рынок Губернский, парк в 10 минутах ходьбы пешком. Квартира просторная, светлая, очень теплая, не угловая, средний подъезд. Поменяна сантехника, электрика, стены выровнены оклеены обоями, в зале подвесной потолок, в остальных комнатах натяжной, санузел раздельный ( кафель) , установлены приборы учёта холодной и горячей воды, два балкона ( с внутренней отделкой) , межкомнатные двери, качественная входная дверь. Квартира продается со всей необходимой мебелью.
Профессиональное юридическое сопровождение сделки.
Узнать больше  ",76 м²,,9 из 9,1986,Вторичка,,,,Косметический,111-97,Панельный,Железобетонные,6,Центральное,Нет,,,,,,,,Да,,,1 пассажирский,,
439,"2-комн. квартира, 54 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/313826412/,5 900 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Советов, 9Ак2На карте","Продаётся благоустроенная квартирана
тыргане. В доме 2015 года постройки
Окна выходят на обе стороны. Кухонная
зона находится в зале, две раздельные
спальни, раздельный санузел. Вовсей
квартире сделанкачественный, свежий
ремонт. Остаётся вся мебель.Квартира
светлая и очень тёплая. Чистый, светлый
подьезд безпосторонних запахов. В
шаговой доступности (З минуты)
находятся школа (дорогу переходитьне
нужно), детский сад игорный техникум,
также множество магазинов, пунктов
выдчи заказов и остановок
общественного транспорта. Большой
зелёный двор, парковочные места
круглыйгод.
Узнать больше  ",54 м²,9 м²,3 из 5,2015,Вторичка,"2,6 м",1 раздельный,На улицу и двор,Дизайнерский,Индивидуальный проект,Панельный,Железобетонные,2,Центральное,Нет,,,,,Наземная,,,,Да,1 балкон,,,
440,"2-комн. квартира, 52 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/298037477/,5 950 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Строителей, 41На карте","Продаётся уютная светлая квартира в отличном районе тыргана, дoм нaходитcя cpaзу зa эвeрестом втoрaя линия oт проспекта. Располoженa нa втором этаже, не угловая, теплая и уютная, окна выхoдят нa двe cтopоны, cанузел раздельный, пeрeплaнировок в квартире нeт.  
B квapтиpe выпoлнен качественный ремонт: входная металлическая дверь, поменяны межкомнатныe двери, плacтиковыe oкнa, натяжныe пoтолки, на пoлу линолеум/ламинат, медные трубы системы отопления, заменены рaдиатoры, cантеxника в xopошeм сoстоянии cтoят прибоpы учета вoды, в вaнне и туалете кафель, балкон застeклен и обшит. Отличные соседи по плошадке.
При пpодажe оcтaётся кухонный гарнитур, прихожая. Остальная мебель по договоренности. 
Рaйoн с paзвитoй инфрacтруктурой, все в шаговой доступности: солнечный гoрoдoк , мaгaзины, шкoлы, дeт.сады, aптеки, aвтобусная остановка, молодёжный парк, ТЦ Простор, Губернский рынок, Лента, Мария-Ра. 
Без долгов и обременений. Один взрослый собственник.
Узнать больше  ",52 м²,9 м²,2 из 5,1984,Вторичка,"2,6 м",1 раздельный,На улицу и двор,Евроремонт,111-97,Панельный,Железобетонные,8,Центральное,Нет,,,,,Наземная,,"30,3 м²",,,1 балкон,,,
